,user,repo,star,link
0,dotnet,aspnetcore,32700,https://github.com/dotnet/aspnetcore
1,files-community,Files,28800,https://github.com/files-community/Files
2,SeleniumHQ,selenium,27800,https://github.com/SeleniumHQ/selenium
3,jellyfin,jellyfin,25000,https://github.com/jellyfin/jellyfin
4,Ryujinx,Ryujinx,24800,https://github.com/Ryujinx/Ryujinx
5,dotnet,maui,19700,https://github.com/dotnet/maui
6,AvaloniaUI,Avalonia,19700,https://github.com/AvaloniaUI/Avalonia
7,dotnet,core,19300,https://github.com/dotnet/core
8,icsharpcode,ILSpy,18700,https://github.com/icsharpcode/ILSpy
9,dotnet,corefx,17800,https://github.com/dotnet/corefx
10,pulumi,pulumi,17600,https://github.com/pulumi/pulumi
11,quozd,awesome-dotnet,17300,https://github.com/quozd/awesome-dotnet
12,MoienTajik,AspNetCore-Developer-Roadmap,16400,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
13,microsoft,react-native-windows,15600,https://github.com/microsoft/react-native-windows
14,BeyondDimension,SteamTools,15300,https://github.com/BeyondDimension/SteamTools
15,ardalis,CleanArchitecture,13400,https://github.com/ardalis/CleanArchitecture
16,OpenRA,OpenRA,13400,https://github.com/OpenRA/OpenRA
17,bitwarden,server,13200,https://github.com/bitwarden/server
18,dotnet,coreclr,12800,https://github.com/dotnet/coreclr
19,dotnet,runtime,12700,https://github.com/dotnet/runtime
