,user,repo,star,link
0,mrdoob,three.js,94600,https://github.com/mrdoob/three.js
1,pmndrs,react-three-fiber,23800,https://github.com/pmndrs/react-three-fiber
2,libgdx,libgdx,22000,https://github.com/libgdx/libgdx
3,BabylonJS,Babylon.js,21400,https://github.com/BabylonJS/Babylon.js
4,ssloy,tinyrenderer,17900,https://github.com/ssloy/tinyrenderer
5,lettier,3d-game-shaders-for-beginners,16100,https://github.com/lettier/3d-game-shaders-for-beginners
6,aframevr,aframe,15700,https://github.com/aframevr/aframe
7,FreeCAD,FreeCAD,15200,https://github.com/FreeCAD/FreeCAD
8,CesiumGS,cesium,11000,https://github.com/CesiumGS/cesium
9,metafizzy,zdog,10000,https://github.com/metafizzy/zdog
10,blender,blender,9500,https://github.com/blender/blender
11,isl-org,Open3D,9500,https://github.com/isl-org/Open3D
12,timzhang642,3D-Machine-Learning,9100,https://github.com/timzhang642/3D-Machine-Learning
13,a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
14,domlysz,BlenderGIS,6700,https://github.com/domlysz/BlenderGIS
15,nerfstudio-project,nerfstudio,6600,https://github.com/nerfstudio-project/nerfstudio
16,FyroxEngine,Fyrox,6600,https://github.com/FyroxEngine/Fyrox
17,google,model-viewer,6000,https://github.com/google/model-viewer
18,openscad,openscad,5900,https://github.com/openscad/openscad
19,spritejs,spritejs,5200,https://github.com/spritejs/spritejs
