,user,repo,star,link
0,public-apis,public-apis,258000,https://github.com/public-apis/public-apis
1,neovim,neovim,69700,https://github.com/neovim/neovim
2,tiangolo,fastapi,62900,https://github.com/tiangolo/fastapi
3,strapi,strapi,56200,https://github.com/strapi/strapi
4,hoppscotch,hoppscotch,54800,https://github.com/hoppscotch/hoppscotch
5,ocornut,imgui,50500,https://github.com/ocornut/imgui
6,meilisearch,meilisearch,38900,https://github.com/meilisearch/meilisearch
7,slatedocs,slate,35500,https://github.com/slatedocs/slate
8,Kong,insomnia,30900,https://github.com/Kong/insomnia
9,hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
10,httpie,cli,29300,https://github.com/httpie/cli
11,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
12,Binaryify,NeteaseCloudMusicApi,29100,https://github.com/Binaryify/NeteaseCloudMusicApi
13,trpc,trpc,28800,https://github.com/trpc/trpc
14,YMFE,yapi,26500,https://github.com/YMFE/yapi
15,encode,django-rest-framework,26400,https://github.com/encode/django-rest-framework
16,littlecodersh,ItChat,24300,https://github.com/littlecodersh/ItChat
17,directus,directus,23200,https://github.com/directus/directus
18,microsoft,api-guidelines,21800,https://github.com/microsoft/api-guidelines
19,shieldfy,API-Security-Checklist,21400,https://github.com/shieldfy/API-Security-Checklist
