,user,repo,star,link
0,ljianshu,Blog,7700,https://github.com/ljianshu/Blog
1,metafizzy,infinite-scroll,7300,https://github.com/metafizzy/infinite-scroll
2,olifolkerd,tabulator,5700,https://github.com/olifolkerd/tabulator
3,developit,unfetch,5600,https://github.com/developit/unfetch
4,jquery-form,form,5200,https://github.com/jquery-form/form
5,Studio-42,elFinder,4500,https://github.com/Studio-42/elFinder
6,elbywan,wretch,4200,https://github.com/elbywan/wretch
7,dwyl,learn-to-send-email-via-google-script-html-no-server,3000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
8,ded,reqwest,2900,https://github.com/ded/reqwest
9,wendux,ajax-hook,2400,https://github.com/wendux/ajax-hook
10,LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
11,noelboss,featherlight,2100,https://github.com/noelboss/featherlight
12,craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
13,taoensso,sente,1700,https://github.com/taoensso/sente
14,nette,tracy,1700,https://github.com/nette/tracy
15,loadingio,css-spinner,1600,https://github.com/loadingio/css-spinner
16,k8w,tsrpc,1600,https://github.com/k8w/tsrpc
17,joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
18,codingforentrepreneurs,eCommerce,1400,https://github.com/codingforentrepreneurs/eCommerce
19,u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
