,user,repo,star,link
0,jwasham,coding-interview-university,266000,https://github.com/jwasham/coding-interview-university
1,trekhleb,javascript-algorithms,176000,https://github.com/trekhleb/javascript-algorithms
2,TheAlgorithms,Python,170000,https://github.com/TheAlgorithms/Python
3,CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
4,yangshun,tech-interview-handbook,95200,https://github.com/yangshun/tech-interview-handbook
5,kdn251,interviews,60400,https://github.com/kdn251/interviews
6,TheAlgorithms,Java,53700,https://github.com/TheAlgorithms/Java
7,azl397985856,leetcode,52500,https://github.com/azl397985856/leetcode
8,algorithm-visualizer,algorithm-visualizer,44300,https://github.com/algorithm-visualizer/algorithm-visualizer
9,youngyangyang04,leetcode-master,42200,https://github.com/youngyangyang04/leetcode-master
10,krahets,hello-algo,34000,https://github.com/krahets/hello-algo
11,halfrost,LeetCode-Go,30600,https://github.com/halfrost/LeetCode-Go
12,huihut,interview,30500,https://github.com/huihut/interview
13,TheAlgorithms,JavaScript,27900,https://github.com/TheAlgorithms/JavaScript
14,donnemartin,interactive-coding-challenges,27900,https://github.com/donnemartin/interactive-coding-challenges
15,crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
16,TheAlgorithms,C-Plus-Plus,25900,https://github.com/TheAlgorithms/C-Plus-Plus
17,keon,algorithms,23000,https://github.com/keon/algorithms
18,mxgmn,WaveFunctionCollapse,21800,https://github.com/mxgmn/WaveFunctionCollapse
19,trekhleb,homemade-machine-learning,21800,https://github.com/trekhleb/homemade-machine-learning
