,user,repo,star,link
0,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
1,localstack,localstack,48600,https://github.com/localstack/localstack
2,serverless,serverless,45200,https://github.com/serverless/serverless
3,donnemartin,data-science-ipython-notebooks,25600,https://github.com/donnemartin/data-science-ipython-notebooks
4,sst,sst,17700,https://github.com/sst/sst
5,pulumi,pulumi,17600,https://github.com/pulumi/pulumi
6,kubernetes-sigs,kubespray,14500,https://github.com/kubernetes-sigs/kubespray
7,aws,aws-cli,14300,https://github.com/aws/aws-cli
8,ramitsurana,awesome-kubernetes,14300,https://github.com/ramitsurana/awesome-kubernetes
9,getsops,sops,13800,https://github.com/getsops/sops
10,donnemartin,awesome-aws,11700,https://github.com/donnemartin/awesome-aws
11,caprover,caprover,11000,https://github.com/caprover/caprover
12,GoogleCloudPlatform,terraformer,10800,https://github.com/GoogleCloudPlatform/terraformer
13,aws,aws-cdk,10600,https://github.com/aws/aws-cdk
14,apereo,cas,10300,https://github.com/apereo/cas
15,aws,chalice,10000,https://github.com/aws/chalice
16,infracost,infracost,9600,https://github.com/infracost/infracost
17,aws-amplify,amplify-js,9300,https://github.com/aws-amplify/amplify-js
18,google,go-cloud,9200,https://github.com/google/go-cloud
19,aws,serverless-application-model,9100,https://github.com/aws/serverless-application-model
