,user,repo,star,link
0,flutter,flutter,157000,https://github.com/flutter/flutter
1,facebook,react-native,112000,https://github.com/facebook/react-native
2,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
3,Genymobile,scrcpy,91500,https://github.com/Genymobile/scrcpy
4,Hack-with-Github,Awesome-Hacking,69400,https://github.com/Hack-with-Github/Awesome-Hacking
5,google,material-design-icons,48700,https://github.com/google/material-design-icons
6,Solido,awesome-flutter,48600,https://github.com/Solido/awesome-flutter
7,wasabeef,awesome-android-ui,47400,https://github.com/wasabeef/awesome-android-ui
8,square,okhttp,44500,https://github.com/square/okhttp
9,android,architecture-samples,43200,https://github.com/android/architecture-samples
10,square,retrofit,42000,https://github.com/square/retrofit
11,laurent22,joplin,38700,https://github.com/laurent22/joplin
12,dcloudio,uni-app,38600,https://github.com/dcloudio/uni-app
13,fastlane,fastlane,37600,https://github.com/fastlane/fastlane
14,PhilJay,MPAndroidChart,36800,https://github.com/PhilJay/MPAndroidChart
15,skylot,jadx,36300,https://github.com/skylot/jadx
16,airbnb,lottie-android,34200,https://github.com/airbnb/lottie-android
17,shadowsocks,shadowsocks-android,34000,https://github.com/shadowsocks/shadowsocks-android
18,bumptech,glide,33900,https://github.com/bumptech/glide
19,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
