,user,repo,star,link
0,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
1,angular,angular,90400,https://github.com/angular/angular
2,storybookjs,storybook,80400,https://github.com/storybookjs/storybook
3,leonardomso,33-js-concepts,57800,https://github.com/leonardomso/33-js-concepts
4,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
5,prettier,prettier,46700,https://github.com/prettier/prettier
6,Asabeneh,30-Days-Of-JavaScript,38500,https://github.com/Asabeneh/30-Days-Of-JavaScript
7,SheetJS,sheetjs,33600,https://github.com/SheetJS/sheetjs
8,angular,angular-cli,26300,https://github.com/angular/angular-cli
9,angular,components,23700,https://github.com/angular/components
10,NativeScript,NativeScript,23000,https://github.com/NativeScript/NativeScript
11,goldbergyoni,javascript-testing-best-practices,22200,https://github.com/goldbergyoni/javascript-testing-best-practices
12,jhipster,generator-jhipster,20900,https://github.com/jhipster/generator-jhipster
13,pubkey,rxdb,19700,https://github.com/pubkey/rxdb
14,nrwl,nx,19400,https://github.com/nrwl/nx
15,sudheerj,javascript-interview-questions,18000,https://github.com/sudheerj/javascript-interview-questions
16,wailsapp,wails,17600,https://github.com/wailsapp/wails
17,teambit,bit,17000,https://github.com/teambit/bit
18,sweetalert2,sweetalert2,16200,https://github.com/sweetalert2/sweetalert2
19,jasontaylordev,CleanArchitecture,13200,https://github.com/jasontaylordev/CleanArchitecture
