,user,repo,star,link
0,ansible,ansible,58700,https://github.com/ansible/ansible
1,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
2,trailofbits,algo,27700,https://github.com/trailofbits/algo
3,MichaelCade,90DaysOfDevOps,23900,https://github.com/MichaelCade/90DaysOfDevOps
4,StreisandEffect,streisand,23000,https://github.com/StreisandEffect/streisand
5,kubernetes-sigs,kubespray,14500,https://github.com/kubernetes-sigs/kubespray
6,ansible,awx,12700,https://github.com/ansible/awx
7,easzlab,kubeasz,9500,https://github.com/easzlab/kubeasz
8,ansible-semaphore,semaphore,7800,https://github.com/ansible-semaphore/semaphore
9,geerlingguy,ansible-for-devops,7500,https://github.com/geerlingguy/ansible-for-devops
10,khuedoan,homelab,7200,https://github.com/khuedoan/homelab
11,Tikam02,DevOps-Guide,7100,https://github.com/Tikam02/DevOps-Guide
12,geerlingguy,mac-dev-playbook,5500,https://github.com/geerlingguy/mac-dev-playbook
13,rundeck,rundeck,5100,https://github.com/rundeck/rundeck
14,KubeOperator,KubeOperator,4800,https://github.com/KubeOperator/KubeOperator
15,netbootxyz,netboot.xyz,4600,https://github.com/netbootxyz/netboot.xyz
16,clong,DetectionLab,4300,https://github.com/clong/DetectionLab
17,ansible,molecule,3700,https://github.com/ansible/molecule
18,opendevops-cn,opendevops,3500,https://github.com/opendevops-cn/opendevops
19,dev-sec,ansible-collection-hardening,3400,https://github.com/dev-sec/ansible-collection-hardening
