,user,repo,star,link
0,arendst,Tasmota,20300,https://github.com/arendst/Tasmota
1,MarlinFirmware,Marlin,15300,https://github.com/MarlinFirmware/Marlin
2,arduino,Arduino,13700,https://github.com/arduino/Arduino
3,tinygo-org,tinygo,13500,https://github.com/tinygo-org/tinygo
4,rwaldron,johnny-five,13100,https://github.com/rwaldron/johnny-five
5,SpacehuhnTech,esp8266_deauther,12200,https://github.com/SpacehuhnTech/esp8266_deauther
6,espressif,arduino-esp32,11300,https://github.com/espressif/arduino-esp32
7,gurugio,lowlevelprogramming-university,8800,https://github.com/gurugio/lowlevelprogramming-university
8,hybridgroup,gobot,8400,https://github.com/hybridgroup/gobot
9,platformio,platformio-core,7000,https://github.com/platformio/platformio-core
10,bblanchon,ArduinoJson,6300,https://github.com/bblanchon/ArduinoJson
11,tzapu,WiFiManager,6000,https://github.com/tzapu/WiFiManager
12,olikraus,u8g2,4300,https://github.com/olikraus/u8g2
13,ClemensElflein,OpenMower,4100,https://github.com/ClemensElflein/OpenMower
14,Arduino-IRremote,Arduino-IRremote,4100,https://github.com/Arduino-IRremote/Arduino-IRremote
15,arduino,arduino-cli,4000,https://github.com/arduino/arduino-cli
16,hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
17,blynkkk,blynk-library,3700,https://github.com/blynkkk/blynk-library
18,Serial-Studio,Serial-Studio,3700,https://github.com/Serial-Studio/Serial-Studio
19,NerdLang,nerd,3500,https://github.com/NerdLang/nerd
