,user,repo,star,link
0,atom,atom,59600,https://github.com/atom/atom
1,miniflux,v2,5500,https://github.com/miniflux/v2
2,themerdev,themer,5200,https://github.com/themerdev/themer
3,shd101wyy,markdown-preview-enhanced,4000,https://github.com/shd101wyy/markdown-preview-enhanced
4,nteract,hydrogen,3900,https://github.com/nteract/hydrogen
5,atom,teletype,2400,https://github.com/atom/teletype
6,mmcdole,gofeed,2300,https://github.com/mmcdole/gofeed
7,NaiboWang,CommandlineConfig,2000,https://github.com/NaiboWang/CommandlineConfig
8,feeddd,feeds,1900,https://github.com/feeddd/feeds
9,mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
10,kurtmckee,feedparser,1700,https://github.com/kurtmckee/feedparser
11,joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
12,ocaml,merlin,1500,https://github.com/ocaml/merlin
13,Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
14,simplepie,simplepie,1500,https://github.com/simplepie/simplepie
15,t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
16,MagicStack,MagicPython,1400,https://github.com/MagicStack/MagicPython
17,fwcd,kotlin-language-server,1300,https://github.com/fwcd/kotlin-language-server
18,file-icons,atom,1300,https://github.com/file-icons/atom
19,atom,apm,1300,https://github.com/atom/apm
