,user,repo,star,link
0,sindresorhus,awesome,271000,https://github.com/sindresorhus/awesome
1,vinta,awesome-python,182000,https://github.com/vinta/awesome-python
2,awesome-selfhosted,awesome-selfhosted,150000,https://github.com/awesome-selfhosted/awesome-selfhosted
3,avelino,awesome-go,109000,https://github.com/avelino/awesome-go
4,trimstray,the-book-of-secret-knowledge,108000,https://github.com/trimstray/the-book-of-secret-knowledge
5,papers-we-love,papers-we-love,76600,https://github.com/papers-we-love/papers-we-love
6,521xueweihan,HelloGitHub,75700,https://github.com/521xueweihan/HelloGitHub
7,Hack-with-Github,Awesome-Hacking,69400,https://github.com/Hack-with-Github/Awesome-Hacking
8,jaywcjlove,awesome-mac,63700,https://github.com/jaywcjlove/awesome-mac
9,enaqx,awesome-react,58300,https://github.com/enaqx/awesome-react
10,DopplerHQ,awesome-interview-questions,57800,https://github.com/DopplerHQ/awesome-interview-questions
11,MunGell,awesome-for-beginners,56900,https://github.com/MunGell/awesome-for-beginners
12,sindresorhus,awesome-nodejs,52900,https://github.com/sindresorhus/awesome-nodejs
13,prakhar1989,awesome-courses,49300,https://github.com/prakhar1989/awesome-courses
14,fffaraz,awesome-cpp,49200,https://github.com/fffaraz/awesome-cpp
15,Solido,awesome-flutter,48600,https://github.com/Solido/awesome-flutter
16,binhnguyennus,awesome-scalability,48500,https://github.com/binhnguyennus/awesome-scalability
17,wasabeef,awesome-android-ui,47400,https://github.com/wasabeef/awesome-android-ui
18,vsouza,awesome-ios,44000,https://github.com/vsouza/awesome-ios
19,tiimgreen,github-cheat-sheet,42500,https://github.com/tiimgreen/github-cheat-sheet
