,user,repo,star,link
0,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
1,pulumi,pulumi,17600,https://github.com/pulumi/pulumi
2,recommenders-team,recommenders,16400,https://github.com/recommenders-team/recommenders
3,ramitsurana,awesome-kubernetes,14300,https://github.com/ramitsurana/awesome-kubernetes
4,getsops,sops,13800,https://github.com/getsops/sops
5,Azure,azure-quickstart-templates,13200,https://github.com/Azure/azure-quickstart-templates
6,caprover,caprover,11000,https://github.com/caprover/caprover
7,infracost,infracost,9600,https://github.com/infracost/infracost
8,google,go-cloud,9200,https://github.com/google/go-cloud
9,microsoft,computervision-recipes,9100,https://github.com/microsoft/computervision-recipes
10,prowler-cloud,prowler,8600,https://github.com/prowler-cloud/prowler
11,microsoft,azuredatastudio,7200,https://github.com/microsoft/azuredatastudio
12,Netflix,metaflow,7000,https://github.com/Netflix/metaflow
13,midwayjs,midway,6900,https://github.com/midwayjs/midway
14,node-formidable,formidable,6800,https://github.com/node-formidable/formidable
15,thangchung,clean-code-dotnet,6400,https://github.com/thangchung/clean-code-dotnet
16,aquasecurity,tfsec,6300,https://github.com/aquasecurity/tfsec
17,budtmo,docker-android,6100,https://github.com/budtmo/docker-android
18,milanm,DevOps-Roadmap,6100,https://github.com/milanm/DevOps-Roadmap
19,bridgecrewio,checkov,5900,https://github.com/bridgecrewio/checkov
