,user,repo,star,link
0,babel,babel,42500,https://github.com/babel/babel
1,swc-project,swc,28600,https://github.com/swc-project/swc
2,nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
3,electron-react-boilerplate,electron-react-boilerplate,21900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
4,avajs,ava,20500,https://github.com/avajs/ava
5,SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
6,grab,front-end-guide,15000,https://github.com/grab/front-end-guide
7,jamiebuilds,babel-handbook,11800,https://github.com/jamiebuilds/babel-handbook
8,developit,htm,8300,https://github.com/developit/htm
9,grommet,grommet,8200,https://github.com/grommet/grommet
10,ben-rogerson,twin.macro,7500,https://github.com/ben-rogerson/twin.macro
11,angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
12,documentationjs,documentation,5700,https://github.com/documentationjs/documentation
13,fkling,astexplorer,5600,https://github.com/fkling/astexplorer
14,insin,nwb,5600,https://github.com/insin/nwb
15,thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
16,egoist,poi,5300,https://github.com/egoist/poi
17,duxianwei520,react,4900,https://github.com/duxianwei520/react
18,transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
19,babel,babel-loader,4800,https://github.com/babel/babel-loader
