,user,repo,star,link
0,jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
1,nvm-sh,nvm,70300,https://github.com/nvm-sh/nvm
2,junegunn,fzf,54500,https://github.com/junegunn/fzf
3,google,zx,38600,https://github.com/google/zx
4,starship,starship,36600,https://github.com/starship/starship
5,dylanaraps,pure-bash-bible,34800,https://github.com/dylanaraps/pure-bash-bible
6,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
7,acmesh-official,acme.sh,33200,https://github.com/acmesh-official/acme.sh
8,koalaman,shellcheck,33100,https://github.com/koalaman/shellcheck
9,mathiasbynens,dotfiles,29300,https://github.com/mathiasbynens/dotfiles
10,alebcay,awesome-shell,28600,https://github.com/alebcay/awesome-shell
11,jaywcjlove,linux-command,25100,https://github.com/jaywcjlove/linux-command
12,withfig,autocomplete,23000,https://github.com/withfig/autocomplete
13,dylanaraps,neofetch,18800,https://github.com/dylanaraps/neofetch
14,asdf-vm,asdf,18600,https://github.com/asdf-vm/asdf
15,Nyr,openvpn-install,17600,https://github.com/Nyr/openvpn-install
16,kingToolbox,WindTerm,16900,https://github.com/kingToolbox/WindTerm
17,rbenv,rbenv,15300,https://github.com/rbenv/rbenv
18,warpdotdev,Warp,15300,https://github.com/warpdotdev/Warp
19,charmbracelet,gum,14700,https://github.com/charmbracelet/gum
