,user,repo,star,link
0,bitcoin,bitcoin,71500,https://github.com/bitcoin/bitcoin
1,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
2,freqtrade,freqtrade,23000,https://github.com/freqtrade/freqtrade
3,HelloZeroNet,ZeroNet,18000,https://github.com/HelloZeroNet/ZeroNet
4,solana-labs,solana,10600,https://github.com/solana-labs/solana
5,bbfamily,abu,10500,https://github.com/bbfamily/abu
6,askmike,gekko,10000,https://github.com/askmike/gekko
7,dvf,blockchain,7500,https://github.com/dvf/blockchain
8,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
9,lightningnetwork,lnd,7100,https://github.com/lightningnetwork/lnd
10,spesmilo,electrum,6600,https://github.com/spesmilo/electrum
11,yeasy,blockchain_guide,6600,https://github.com/yeasy/blockchain_guide
12,butor,blackbird,5800,https://github.com/butor/blackbird
13,btcsuite,btcd,5500,https://github.com/btcsuite/btcd
14,btcpayserver,btcpayserver,5400,https://github.com/btcpayserver/btcpayserver
15,bitcoinjs,bitcoinjs-lib,5100,https://github.com/bitcoinjs/bitcoinjs-lib
16,getumbrel,umbrel,5000,https://github.com/getumbrel/umbrel
17,anders94,blockchain-demo,4900,https://github.com/anders94/blockchain-demo
18,jesse-ai,jesse,4900,https://github.com/jesse-ai/jesse
19,bitcoinj,bitcoinj,4700,https://github.com/bitcoinj/bitcoinj
