,user,repo,star,link
0,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
1,discordjs,discord.js,23900,https://github.com/discordjs/discord.js
2,python-telegram-bot,python-telegram-bot,23100,https://github.com/python-telegram-bot/python-telegram-bot
3,wechaty,wechaty,17300,https://github.com/wechaty/wechaty
4,RasaHQ,rasa,17000,https://github.com/RasaHQ/rasa
5,hubotio,hubot,16500,https://github.com/hubotio/hubot
6,InstaPy,InstaPy,15700,https://github.com/InstaPy/InstaPy
7,gunthercox,ChatterBot,13600,https://github.com/gunthercox/ChatterBot
8,leon-ai,leon,13500,https://github.com/leon-ai/leon
9,Rapptz,discord.py,13500,https://github.com/Rapptz/discord.py
10,tgbot-collection,YYeTsBot,13100,https://github.com/tgbot-collection/YYeTsBot
11,pedroslopez,whatsapp-web.js,12000,https://github.com/pedroslopez/whatsapp-web.js
12,howdyai,botkit,11200,https://github.com/howdyai/botkit
13,sfyc23,EverydayWechat,9600,https://github.com/sfyc23/EverydayWechat
14,Mrs4s,go-cqhttp,9600,https://github.com/Mrs4s/go-cqhttp
15,lss233,chatgpt-mirai-qq-bot,9400,https://github.com/lss233/chatgpt-mirai-qq-bot
16,microsoft,ailab,7500,https://github.com/microsoft/ailab
17,yagop,node-telegram-bot-api,7400,https://github.com/yagop/node-telegram-bot-api
18,microsoft,botframework-sdk,7200,https://github.com/microsoft/botframework-sdk
19,telegraf,telegraf,7000,https://github.com/telegraf/telegraf
