,user,repo,star,link
0,files-community,Files,28800,https://github.com/files-community/Files
1,microsoft,calculator,27800,https://github.com/microsoft/calculator
2,ShareX,ShareX,25500,https://github.com/ShareX/ShareX
3,jellyfin,jellyfin,25000,https://github.com/jellyfin/jellyfin
4,Ryujinx,Ryujinx,24800,https://github.com/Ryujinx/Ryujinx
5,doocs,leetcode,23300,https://github.com/doocs/leetcode
6,mxgmn,WaveFunctionCollapse,21800,https://github.com/mxgmn/WaveFunctionCollapse
7,AvaloniaUI,Avalonia,19700,https://github.com/AvaloniaUI/Avalonia
8,thangchung,awesome-dotnet-core,18400,https://github.com/thangchung/awesome-dotnet-core
9,veler,DevToys,18100,https://github.com/veler/DevToys
10,dotnet,roslyn,17800,https://github.com/dotnet/roslyn
11,dotnet,corefx,17800,https://github.com/dotnet/corefx
12,sst,sst,17700,https://github.com/sst/sst
13,pulumi,pulumi,17600,https://github.com/pulumi/pulumi
14,quozd,awesome-dotnet,17300,https://github.com/quozd/awesome-dotnet
15,MoienTajik,AspNetCore-Developer-Roadmap,16400,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
16,antlr,antlr4,15300,https://github.com/antlr/antlr4
17,BeyondDimension,SteamTools,15300,https://github.com/BeyondDimension/SteamTools
18,ardalis,CleanArchitecture,13400,https://github.com/ardalis/CleanArchitecture
19,OpenRA,OpenRA,13400,https://github.com/OpenRA/OpenRA
