,user,repo,star,link
0,CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
1,practical-tutorials,project-based-learning,116000,https://github.com/practical-tutorials/project-based-learning
2,azl397985856,leetcode,52500,https://github.com/azl397985856/leetcode
3,fffaraz,awesome-cpp,49200,https://github.com/fffaraz/awesome-cpp
4,youngyangyang04,leetcode-master,42200,https://github.com/youngyangyang04/leetcode-master
5,x64dbg,x64dbg,41600,https://github.com/x64dbg/x64dbg
6,Light-City,CPlusPlusThings,33200,https://github.com/Light-City/CPlusPlusThings
7,carbon-language,carbon-lang,31300,https://github.com/carbon-language/carbon-lang
8,yuzu-emu,yuzu,30800,https://github.com/yuzu-emu/yuzu
9,huihut,interview,30500,https://github.com/huihut/interview
10,CMU-Perceptual-Computing-Lab,openpose,28200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
11,microsoft,calculator,27800,https://github.com/microsoft/calculator
12,TheAlgorithms,C-Plus-Plus,25900,https://github.com/TheAlgorithms/C-Plus-Plus
13,doocs,leetcode,23300,https://github.com/doocs/leetcode
14,changkun,modern-cpp-tutorial,21700,https://github.com/changkun/modern-cpp-tutorial
15,dragonflydb,dragonfly,21100,https://github.com/dragonflydb/dragonfly
16,ethereum,solidity,20900,https://github.com/ethereum/solidity
17,gabime,spdlog,20000,https://github.com/gabime/spdlog
18,microsoft,vcpkg,19700,https://github.com/microsoft/vcpkg
19,ssloy,tinyrenderer,17900,https://github.com/ssloy/tinyrenderer
