,user,repo,star,link
0,Genymobile,scrcpy,91500,https://github.com/Genymobile/scrcpy
1,neovim,neovim,69700,https://github.com/neovim/neovim
2,obsproject,obs-studio,50400,https://github.com/obsproject/obs-studio
3,fffaraz,awesome-cpp,49200,https://github.com/fffaraz/awesome-cpp
4,git,git,47400,https://github.com/git/git
5,FFmpeg,FFmpeg,38500,https://github.com/FFmpeg/FFmpeg
6,serhii-londar,open-source-mac-os-apps,36900,https://github.com/serhii-londar/open-source-mac-os-apps
7,vim,vim,32900,https://github.com/vim/vim
8,curl,curl,31300,https://github.com/curl/curl
9,huihut,interview,30500,https://github.com/huihut/interview
10,ggreer,the_silver_searcher,25200,https://github.com/ggreer/the_silver_searcher
11,mpv-player,mpv,23600,https://github.com/mpv-player/mpv
12,ossrs,srs,22700,https://github.com/ossrs/srs
13,google,flatbuffers,21100,https://github.com/google/flatbuffers
14,ruby,ruby,20800,https://github.com/ruby/ruby
15,kovidgoyal,kitty,19900,https://github.com/kovidgoyal/kitty
16,microsoft,vcpkg,19700,https://github.com/microsoft/vcpkg
17,oracle,graal,19100,https://github.com/oracle/graal
18,radareorg,radare2,18600,https://github.com/radareorg/radare2
19,hashcat,hashcat,18300,https://github.com/hashcat/hashcat
