,user,repo,star,link
0,CSSEGISandData,COVID-19,29200,https://github.com/CSSEGISandData/COVID-19
1,nytimes,covid-19-data,7000,https://github.com/nytimes/covid-19-data
2,covid19india,covid19india-react,6900,https://github.com/covid19india/covid19india-react
3,Tokyo-Metro-Gov,covid19,6300,https://github.com/Tokyo-Metro-Gov/covid19
4,owid,covid-19-data,5600,https://github.com/owid/covid-19-data
5,pcm-dpc,COVID-19,3900,https://github.com/pcm-dpc/COVID-19
6,ieee8023,covid-chestxray-dataset,2900,https://github.com/ieee8023/covid-chestxray-dataset
7,geohot,corona,2400,https://github.com/geohot/corona
8,disease-sh,API,2400,https://github.com/disease-sh/API
9,WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
10,corona-warn-app,cwa-server,1900,https://github.com/corona-warn-app/cwa-server
11,ahmadawais,corona-cli,1900,https://github.com/ahmadawais/corona-cli
12,github,covid19-dashboard,1600,https://github.com/github/covid19-dashboard
13,ExpDev07,coronavirus-tracker-api,1600,https://github.com/ExpDev07/coronavirus-tracker-api
14,soroushchehresa,awesome-coronavirus,1500,https://github.com/soroushchehresa/awesome-coronavirus
15,mhdhejazi,CoronaTracker,1500,https://github.com/mhdhejazi/CoronaTracker
16,chandrikadeb7,Face-Mask-Detection,1500,https://github.com/chandrikadeb7/Face-Mask-Detection
17,cirosantilli,china-dictatorship,1400,https://github.com/cirosantilli/china-dictatorship
18,neherlab,covid19_scenarios,1400,https://github.com/neherlab/covid19_scenarios
19,chrismattmann,tika-python,1300,https://github.com/chrismattmann/tika-python
