,user,repo,star,link
0,twbs,bootstrap,165000,https://github.com/twbs/bootstrap
1,30-seconds,30-seconds-of-code,116000,https://github.com/30-seconds/30-seconds-of-code
2,electron,electron,109000,https://github.com/electron/electron
3,animate-css,animate.css,78600,https://github.com/animate-css/animate.css
4,microsoft,Web-Dev-For-Beginners,76800,https://github.com/microsoft/Web-Dev-For-Beginners
5,FortAwesome,Font-Awesome,72300,https://github.com/FortAwesome/Font-Awesome
6,tailwindlabs,tailwindcss,72200,https://github.com/tailwindlabs/tailwindcss
7,thedaviddias,Front-End-Checklist,66100,https://github.com/thedaviddias/Front-End-Checklist
8,h5bp,html5-boilerplate,55300,https://github.com/h5bp/html5-boilerplate
9,necolas,normalize.css,51000,https://github.com/necolas/normalize.css
10,jgthms,bulma,47500,https://github.com/jgthms/bulma
11,juliangarnier,anime,47100,https://github.com/juliangarnier/anime
12,prettier,prettier,46700,https://github.com/prettier/prettier
13,parcel-bundler,parcel,42700,https://github.com/parcel-bundler/parcel
14,vercel,hyper,41500,https://github.com/vercel/hyper
15,styled-components,styled-components,39500,https://github.com/styled-components/styled-components
16,Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
17,Asabeneh,30-Days-Of-JavaScript,38500,https://github.com/Asabeneh/30-Days-Of-JavaScript
18,yangshun,front-end-interview-handbook,38500,https://github.com/yangshun/front-end-interview-handbook
19,evanw,esbuild,36100,https://github.com/evanw/esbuild
