,user,repo,star,link
0,iamadamdev,bypass-paywalls-chrome,41300,https://github.com/iamadamdev/bypass-paywalls-chrome
1,jaywcjlove,linux-command,25100,https://github.com/jaywcjlove/linux-command
2,refined-github,refined-github,21700,https://github.com/refined-github/refined-github
3,openai-translator,openai-translator,18400,https://github.com/openai-translator/openai-translator
4,darkreader,darkreader,17400,https://github.com/darkreader/darkreader
5,checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
6,dailydotdev,daily,14100,https://github.com/dailydotdev/daily
7,unbug,codelf,13800,https://github.com/unbug/codelf
8,wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
9,gildas-lormeau,SingleFile,12000,https://github.com/gildas-lormeau/SingleFile
10,immersive-translate,immersive-translate,11600,https://github.com/immersive-translate/immersive-translate
11,Anarios,return-youtube-dislike,11500,https://github.com/Anarios/return-youtube-dislike
12,crimx,ext-saladict,11100,https://github.com/crimx/ext-saladict
13,listen1,listen1_chrome_extension,10500,https://github.com/listen1/listen1_chrome_extension
14,josStorer,chatGPTBox,8800,https://github.com/josStorer/chatGPTBox
15,alyssaxuu,screenity,8600,https://github.com/alyssaxuu/screenity
16,appbaseio,dejavu,8200,https://github.com/appbaseio/dejavu
17,AutomaApp,automa,8200,https://github.com/AutomaApp/automa
18,chathub-dev,chathub,8200,https://github.com/chathub-dev/chathub
19,ajayyy,SponsorBlock,7600,https://github.com/ajayyy/SponsorBlock
