,user,repo,star,link
0,electron,electron,109000,https://github.com/electron/electron
1,puppeteer,puppeteer,84600,https://github.com/puppeteer/puppeteer
2,microsoft,playwright,55100,https://github.com/microsoft/playwright
3,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
4,iamadamdev,bypass-paywalls-chrome,41300,https://github.com/iamadamdev/bypass-paywalls-chrome
5,jaywcjlove,linux-command,25100,https://github.com/jaywcjlove/linux-command
6,ovity,octotree,22500,https://github.com/ovity/octotree
7,segment-boneyard,nightmare,19400,https://github.com/segment-boneyard/nightmare
8,checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
9,google,WebFundamentals,13800,https://github.com/google/WebFundamentals
10,schickling,chromeless,13200,https://github.com/schickling/chromeless
11,GoogleChrome,chrome-extensions-samples,13100,https://github.com/GoogleChrome/chrome-extensions-samples
12,gildas-lormeau,SingleFile,12000,https://github.com/gildas-lormeau/SingleFile
13,casesandberg,react-color,11600,https://github.com/casesandberg/react-color
14,crimx,ext-saladict,11100,https://github.com/crimx/ext-saladict
15,MetaMask,metamask-extension,10600,https://github.com/MetaMask/metamask-extension
16,chromedp,chromedp,9600,https://github.com/chromedp/chromedp
17,moonD4rk,HackBrowserData,8700,https://github.com/moonD4rk/HackBrowserData
18,uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
19,ajayyy,SponsorBlock,7600,https://github.com/ajayyy/SponsorBlock
