,user,repo,star,link
0,realm,SwiftLint,17800,https://github.com/realm/SwiftLint
1,facebook,infer,14300,https://github.com/facebook/infer
2,analysis-tools-dev,static-analysis,11700,https://github.com/analysis-tools-dev/static-analysis
3,Kristories,awesome-guidelines,9100,https://github.com/Kristories/awesome-guidelines
4,SonarSource,sonarqube,8100,https://github.com/SonarSource/sonarqube
5,checkstyle,checkstyle,7900,https://github.com/checkstyle/checkstyle
6,reviewdog,reviewdog,6700,https://github.com/reviewdog/reviewdog
7,facebook,pyre-check,6500,https://github.com/facebook/pyre-check
8,detekt,detekt,5700,https://github.com/detekt/detekt
9,import-js,eslint-plugin-import,5000,https://github.com/import-js/eslint-plugin-import
10,trekhleb,state-of-the-art-shitcode,5000,https://github.com/trekhleb/state-of-the-art-shitcode
11,pylint-dev,pylint,4800,https://github.com/pylint-dev/pylint
12,simplecov-ruby,simplecov,4600,https://github.com/simplecov-ruby/simplecov
13,pmd,pmd,4400,https://github.com/pmd/pmd
14,phpro,grumphp,4000,https://github.com/phpro/grumphp
15,kucherenko,jscpd,3200,https://github.com/kucherenko/jscpd
16,htmlhint,HTMLHint,3000,https://github.com/htmlhint/HTMLHint
17,codeclimate,codeclimate,2400,https://github.com/codeclimate/codeclimate
18,wemake-services,wemake-python-styleguide,2300,https://github.com/wemake-services/wemake-python-styleguide
19,uber,piranha,2100,https://github.com/uber/piranha
