,user,repo,star,link
0,ohmyzsh,ohmyzsh,163000,https://github.com/ohmyzsh/ohmyzsh
1,junegunn,fzf,54500,https://github.com/junegunn/fzf
2,sherlock-project,sherlock,43400,https://github.com/sherlock-project/sherlock
3,sharkdp,bat,43100,https://github.com/sharkdp/bat
4,BurntSushi,ripgrep,40200,https://github.com/BurntSushi/ripgrep
5,jesseduffield,lazygit,39000,https://github.com/jesseduffield/lazygit
6,google,zx,38600,https://github.com/google/zx
7,wagoodman,dive,38500,https://github.com/wagoodman/dive
8,chubin,cheat.sh,36100,https://github.com/chubin/cheat.sh
9,n8n-io,n8n,33800,https://github.com/n8n-io/n8n
10,spf13,cobra,33500,https://github.com/spf13/cobra
11,cli,cli,33300,https://github.com/cli/cli
12,httpie,cli,29300,https://github.com/httpie/cli
13,sharkdp,fd,28900,https://github.com/sharkdp/fd
14,alebcay,awesome-shell,28600,https://github.com/alebcay/awesome-shell
15,ibraheemdev,modern-unix,27900,https://github.com/ibraheemdev/modern-unix
16,acheong08,ChatGPT,27300,https://github.com/acheong08/ChatGPT
17,angular,angular-cli,26300,https://github.com/angular/angular-cli
18,tqdm,tqdm,25800,https://github.com/tqdm/tqdm
19,google,python-fire,25300,https://github.com/google/python-fire
