,user,repo,star,link
0,vercel,next.js,112000,https://github.com/vercel/next.js
1,rust-lang,rust,85600,https://github.com/rust-lang/rust
2,sveltejs,svelte,72800,https://github.com/sveltejs/svelte
3,webpack,webpack,63500,https://github.com/webpack/webpack
4,gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
5,JetBrains,kotlin,45900,https://github.com/JetBrains/kotlin
6,parcel-bundler,parcel,42700,https://github.com/parcel-bundler/parcel
7,babel,babel,42500,https://github.com/babel/babel
8,evanw,esbuild,36100,https://github.com/evanw/esbuild
9,vlang,v,34600,https://github.com/vlang/v
10,carbon-language,carbon-lang,31300,https://github.com/carbon-language/carbon-lang
11,markedjs,marked,30500,https://github.com/markedjs/marked
12,FuelLabs,sway,28900,https://github.com/FuelLabs/sway
13,swc-project,swc,28600,https://github.com/swc-project/swc
14,ziglang,zig,26000,https://github.com/ziglang/zig
15,vercel,pkg,23800,https://github.com/vercel/pkg
16,v8,v8,21700,https://github.com/v8/v8
17,typst,typst,21000,https://github.com/typst/typst
18,AssemblyScript,assemblyscript,15900,https://github.com/AssemblyScript/assemblyscript
19,RustPython,RustPython,15600,https://github.com/RustPython/RustPython
