,user,repo,star,link
0,localstack,localstack,48600,https://github.com/localstack/localstack
1,harness,gitness,28900,https://github.com/harness/gitness
2,jenkinsci,jenkins,21500,https://github.com/jenkinsci/jenkins
3,auchenberg,volkswagen,12700,https://github.com/auchenberg/volkswagen
4,theonedev,onedev,11900,https://github.com/theonedev/onedev
5,dagger,dagger,9000,https://github.com/dagger/dagger
6,openshift,origin,8400,https://github.com/openshift/origin
7,concourse,concourse,7000,https://github.com/concourse/concourse
8,gocd,gocd,6900,https://github.com/gocd/gocd
9,milanm,DevOps-Roadmap,6100,https://github.com/milanm/DevOps-Roadmap
10,gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
11,buildbot,buildbot,5100,https://github.com/buildbot/buildbot
12,Strider-CD,strider,4600,https://github.com/Strider-CD/strider
13,jenkins-x,jx,4400,https://github.com/jenkins-x/jx
14,ovh,cds,4300,https://github.com/ovh/cds
15,xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
16,JamesIves,github-pages-deploy-action,3800,https://github.com/JamesIves/github-pages-deploy-action
17,iterative,cml,3800,https://github.com/iterative/cml
18,hygieia,hygieia,3800,https://github.com/hygieia/hygieia
19,werf,werf,3800,https://github.com/werf/werf
