,user,repo,star,link
0,bitcoin,bitcoin,71500,https://github.com/bitcoin/bitcoin
1,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
2,OpenBB-finance,OpenBBTerminal,24400,https://github.com/OpenBB-finance/OpenBBTerminal
3,freqtrade,freqtrade,23000,https://github.com/freqtrade/freqtrade
4,monero-project,monero,8100,https://github.com/monero-project/monero
5,xmrig,xmrig,7700,https://github.com/xmrig/xmrig
6,dvf,blockchain,7500,https://github.com/dvf/blockchain
7,lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
8,lightningnetwork,lnd,7100,https://github.com/lightningnetwork/lnd
9,hummingbot,hummingbot,6300,https://github.com/hummingbot/hummingbot
10,StockSharp,StockSharp,6000,https://github.com/StockSharp/StockSharp
11,tendermint,tendermint,5600,https://github.com/tendermint/tendermint
12,cosmos,cosmos-sdk,5400,https://github.com/cosmos/cosmos-sdk
13,sammchardy,python-binance,5400,https://github.com/sammchardy/python-binance
14,sea-protocol,seaprotocol,5200,https://github.com/sea-protocol/seaprotocol
15,mimblewimble,grin,5000,https://github.com/mimblewimble/grin
16,jesse-ai,jesse,4900,https://github.com/jesse-ai/jesse
17,firmai,financial-machine-learning,4700,https://github.com/firmai/financial-machine-learning
18,chrisleekr,binance-trading-bot,4600,https://github.com/chrisleekr/binance-trading-bot
19,litecoin-project,litecoin,4200,https://github.com/litecoin-project/litecoin
