,user,repo,star,link
0,crystal-lang,crystal,18700.0,https://github.com/crystal-lang/crystal
1,kemalcr,kemal,3500.0,https://github.com/kemalcr/kemal
2,veelenga,awesome-crystal,3200.0,https://github.com/veelenga/awesome-crystal
3,amberframework,amber,2500.0,https://github.com/amberframework/amber
4,luckyframework,lucky,2500.0,https://github.com/luckyframework/lucky
5,getmango,Mango,1600.0,https://github.com/getmango/Mango
6,ffwff,lilith,1100.0,https://github.com/ffwff/lilith
7,vitobotta,hetzner-k3s,1100.0,https://github.com/vitobotta/hetzner-k3s
8,drujensen,fib,,https://github.com/drujensen/fib
9,amethyst-framework,amethyst,,https://github.com/amethyst-framework/amethyst
10,askn,crystal-by-example,,https://github.com/askn/crystal-by-example
11,crystal-community,icr,,https://github.com/crystal-community/icr
12,hanabi1224,Programming-Language-Benchmarks,,https://github.com/hanabi1224/Programming-Language-Benchmarks
13,crystal-ameba,ameba,,https://github.com/crystal-ameba/ameba
14,will,crystal-pg,,https://github.com/will/crystal-pg
15,vim-crystal,vim-crystal,,https://github.com/vim-crystal/vim-crystal
16,imdrasil,jennifer.cr,,https://github.com/imdrasil/jennifer.cr
17,elbywan,crystalline,,https://github.com/elbywan/crystalline
18,stefanwille,crystal-redis,,https://github.com/stefanwille/crystal-redis
19,crystal-lang,crystal-book,,https://github.com/crystal-lang/crystal-book
