,user,repo,star,link
0,jwasham,coding-interview-university,266000,https://github.com/jwasham/coding-interview-university
1,trekhleb,javascript-algorithms,176000,https://github.com/trekhleb/javascript-algorithms
2,labuladong,fucking-algorithm,120000,https://github.com/labuladong/fucking-algorithm
3,TheAlgorithms,Java,53700,https://github.com/TheAlgorithms/Java
4,azl397985856,leetcode,52500,https://github.com/azl397985856/leetcode
5,krahets,hello-algo,34000,https://github.com/krahets/hello-algo
6,huihut,interview,30500,https://github.com/huihut/interview
7,kodecocodes,swift-algorithm-club,28100,https://github.com/kodecocodes/swift-algorithm-club
8,TheAlgorithms,JavaScript,27900,https://github.com/TheAlgorithms/JavaScript
9,TheAlgorithms,C-Plus-Plus,25900,https://github.com/TheAlgorithms/C-Plus-Plus
10,TheAlgorithms,Rust,17400,https://github.com/TheAlgorithms/Rust
11,TheAlgorithms,C,16900,https://github.com/TheAlgorithms/C
12,OI-wiki,OI-wiki,15800,https://github.com/OI-wiki/OI-wiki
13,kunal-kushwaha,DSA-Bootcamp-Java,13400,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
14,TheAlgorithms,Go,13400,https://github.com/TheAlgorithms/Go
15,gyoogle,tech-interview-for-developer,11800,https://github.com/gyoogle/tech-interview-for-developer
16,careercup,CtCI-6th-Edition,10900,https://github.com/careercup/CtCI-6th-Edition
17,AkashSingh3031,The-Complete-FAANG-Preparation,9500,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
18,seanprashad,leetcode-patterns,8900,https://github.com/seanprashad/leetcode-patterns
19,changgyhub,leetcode_101,7600,https://github.com/changgyhub/leetcode_101
