,user,repo,star,link
0,d3,d3,106000,https://github.com/d3/d3
1,netdata,netdata,65200,https://github.com/netdata/netdata
2,grafana,grafana,57200,https://github.com/grafana/grafana
3,apache,echarts,56400,https://github.com/apache/echarts
4,apache,superset,54300,https://github.com/apache/superset
5,pixijs,pixijs,41000,https://github.com/pixijs/pixijs
6,metabase,metabase,34200,https://github.com/metabase/metabase
7,streamlit,streamlit,27300,https://github.com/streamlit/streamlit
8,directus,directus,23200,https://github.com/directus/directus
9,microsoft,Data-Science-For-Beginners,22600,https://github.com/microsoft/Data-Science-For-Beginners
10,gradio-app,gradio,22100,https://github.com/gradio-app/gradio
11,academic,awesome-datascience,21900,https://github.com/academic/awesome-datascience
12,plotly,dash,19400,https://github.com/plotly/dash
13,matplotlib,matplotlib,18100,https://github.com/matplotlib/matplotlib
14,airbnb,visx,17800,https://github.com/airbnb/visx
15,plotly,plotly.js,16000,https://github.com/plotly/plotly.js
16,ml-tooling,best-of-ml-python,14500,https://github.com/ml-tooling/best-of-ml-python
17,dataease,dataease,12900,https://github.com/dataease/dataease
18,apexcharts,apexcharts.js,12900,https://github.com/apexcharts/apexcharts.js
19,newTendermint,awesome-bigdata,12300,https://github.com/newTendermint/awesome-bigdata
