,user,repo,star,link
0,netdata,netdata,65200,https://github.com/netdata/netdata
1,redis,redis,61600,https://github.com/redis/redis
2,etcd-io,etcd,44500,https://github.com/etcd-io/etcd
3,meilisearch,meilisearch,38900,https://github.com/meilisearch/meilisearch
4,pingcap,tidb,34900,https://github.com/pingcap/tidb
5,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
6,metabase,metabase,34200,https://github.com/metabase/metabase
7,prisma,prisma,33900,https://github.com/prisma/prisma
8,dbeaver,dbeaver,33900,https://github.com/dbeaver/dbeaver
9,SheetJS,sheetjs,33600,https://github.com/SheetJS/sheetjs
10,typeorm,typeorm,32100,https://github.com/typeorm/typeorm
11,huihut,interview,30500,https://github.com/huihut/interview
12,sqlmapproject,sqlmap,28200,https://github.com/sqlmapproject/sqlmap
13,cockroachdb,cockroach,27800,https://github.com/cockroachdb/cockroach
14,influxdata,influxdb,26100,https://github.com/influxdata/influxdb
15,facebook,rocksdb,26000,https://github.com/facebook/rocksdb
16,mongodb,mongo,24400,https://github.com/mongodb/mongo
17,directus,directus,23200,https://github.com/directus/directus
18,surrealdb,surrealdb,22600,https://github.com/surrealdb/surrealdb
19,taosdata,TDengine,21800,https://github.com/taosdata/TDengine
