,user,repo,star,link
0,tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
1,huggingface,transformers,112000,https://github.com/huggingface/transformers
2,AUTOMATIC1111,stable-diffusion-webui,103000,https://github.com/AUTOMATIC1111/stable-diffusion-webui
3,opencv,opencv,71400,https://github.com/opencv/opencv
4,pytorch,pytorch,71100,https://github.com/pytorch/pytorch
5,Developer-Y,cs-video-courses,60300,https://github.com/Developer-Y/cs-video-courses
6,keras-team,keras,59400,https://github.com/keras-team/keras
7,d2l-ai,d2l-zh,48800,https://github.com/d2l-ai/d2l-zh
8,deepfakes,faceswap,47100,https://github.com/deepfakes/faceswap
9,CorentinJ,Real-Time-Voice-Cloning,46900,https://github.com/CorentinJ/Real-Time-Voice-Cloning
10,aymericdamien,TensorFlow-Examples,43000,https://github.com/aymericdamien/TensorFlow-Examples
11,iperov,DeepFaceLab,42600,https://github.com/iperov/DeepFaceLab
12,Avik-Jain,100-Days-Of-ML-Code,41900,https://github.com/Avik-Jain/100-Days-Of-ML-Code
13,ultralytics,yolov5,41800,https://github.com/ultralytics/yolov5
14,floodsung,Deep-Learning-Papers-Reading-Roadmap,36300,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
15,labmlai,annotated_deep_learning_paper_implementations,36300,https://github.com/labmlai/annotated_deep_learning_paper_implementations
16,dair-ai,Prompt-Engineering-Guide,36000,https://github.com/dair-ai/Prompt-Engineering-Guide
17,GokuMohandas,Made-With-ML,34200,https://github.com/GokuMohandas/Made-With-ML
18,BVLC,caffe,33600,https://github.com/BVLC/caffe
19,hpcaitech,ColossalAI,33200,https://github.com/hpcaitech/ColossalAI
