,user,repo,star,link
0,GetStream,vg,1300.0,https://github.com/GetStream/vg
1,pointfreeco,swift-dependencies,1100.0,https://github.com/pointfreeco/swift-dependencies
2,ehmicky,nve,,https://github.com/ehmicky/nve
3,gradle,gradle-build-action,,https://github.com/gradle/gradle-build-action
4,coenjacobs,mozart,,https://github.com/coenjacobs/mozart
5,kiliankoe,swift-outdated,,https://github.com/kiliankoe/swift-outdated
6,thoth-station,micropipenv,,https://github.com/thoth-station/micropipenv
7,bureado,awesome-software-supply-chain-security,,https://github.com/bureado/awesome-software-supply-chain-security
8,netlify,framework-info,,https://github.com/netlify/framework-info
9,aaronpeikert,reproducible-research,,https://github.com/aaronpeikert/reproducible-research
10,abdes,asap,,https://github.com/abdes/asap
11,momosecurity,mosec-maven-plugin,,https://github.com/momosecurity/mosec-maven-plugin
12,silverwind,updates,,https://github.com/silverwind/updates
13,pichillilorenzo,deps-report,,https://github.com/pichillilorenzo/deps-report
14,MarcoEidinger,swift-package-dependencies-check,,https://github.com/MarcoEidinger/swift-package-dependencies-check
15,stempler,bnd-platform,,https://github.com/stempler/bnd-platform
16,saadmk11,github-actions-version-updater,,https://github.com/saadmk11/github-actions-version-updater
17,pilosus,pip-license-checker,,https://github.com/pilosus/pip-license-checker
18,Zlagi,Blogfy,,https://github.com/Zlagi/Blogfy
19,ewohltman,graphdot,,https://github.com/ewohltman/graphdot
