,user,repo,star,link
0,fastlane,fastlane,37600,https://github.com/fastlane/fastlane
1,ray-project,ray,27800,https://github.com/ray-project/ray
2,capistrano,capistrano,12600,https://github.com/capistrano/capistrano
3,caprover,caprover,11000,https://github.com/caprover/caprover
4,deployphp,deployer,10100,https://github.com/deployphp/deployer
5,dagger,dagger,9000,https://github.com/dagger/dagger
6,apex,up,8700,https://github.com/apex/up
7,AppImage,AppImageKit,8100,https://github.com/AppImage/AppImageKit
8,chef,chef,7300,https://github.com/chef/chef
9,bentoml,OpenLLM,6100,https://github.com/bentoml/OpenLLM
10,node-config,node-config,6100,https://github.com/node-config/node-config
11,StackStorm,st2,5700,https://github.com/StackStorm/st2
12,gitname,react-gh-pages,5500,https://github.com/gitname/react-gh-pages
13,shipitjs,shipit,5300,https://github.com/shipitjs/shipit
14,gaia-pipeline,gaia,5100,https://github.com/gaia-pipeline/gaia
15,rundeck,rundeck,5100,https://github.com/rundeck/rundeck
16,meefik,linuxdeploy,4800,https://github.com/meefik/linuxdeploy
17,vmware-tanzu,kubeapps,4700,https://github.com/vmware-tanzu/kubeapps
18,PaddlePaddle,PaddleX,4500,https://github.com/PaddlePaddle/PaddleX
19,mina-deploy,mina,4300,https://github.com/mina-deploy/mina
