,user,repo,star,link
0,django,django,73200,https://github.com/django/django
1,getsentry,sentry,35200,https://github.com/getsentry/sentry
2,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
3,encode,django-rest-framework,26400,https://github.com/encode/django-rest-framework
4,jumpserver,jumpserver,22100,https://github.com/jumpserver/jumpserver
5,saleor,saleor,19100,https://github.com/saleor/saleor
6,makeplane,plane,16300,https://github.com/makeplane/plane
7,wagtail,wagtail,15600,https://github.com/wagtail/wagtail
8,ansible,awx,12700,https://github.com/ansible/awx
9,Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
10,cookiecutter,cookiecutter-django,10900,https://github.com/cookiecutter/cookiecutter-django
11,django-cms,django-cms,9500,https://github.com/django-cms/django-cms
12,pennersr,django-allauth,8300,https://github.com/pennersr/django-allauth
13,wsvincent,awesome-django,7500,https://github.com/wsvincent/awesome-django
14,healthchecks,healthchecks,6600,https://github.com/healthchecks/healthchecks
15,LibrePhotos,librephotos,5900,https://github.com/LibrePhotos/librephotos
16,django-oscar,django-oscar,5900,https://github.com/django-oscar/django-oscar
17,liangliangyy,DjangoBlog,5800,https://github.com/liangliangyy/DjangoBlog
18,graphite-project,graphite-web,5700,https://github.com/graphite-project/graphite-web
19,joerick,pyinstrument,5600,https://github.com/joerick/pyinstrument
