,user,repo,star,link
0,macrozheng,mall,70200,https://github.com/macrozheng/mall
1,moby,moby,66700,https://github.com/moby/moby
2,netdata,netdata,65200,https://github.com/netdata/netdata
3,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
4,traefik,traefik,44700,https://github.com/traefik/traefik
5,mastodon,mastodon,44100,https://github.com/mastodon/mastodon
6,gogs,gogs,43000,https://github.com/gogs/gogs
7,louislam,uptime-kuma,38700,https://github.com/louislam/uptime-kuma
8,wagoodman,dive,38500,https://github.com/wagoodman/dive
9,Kong,kong,35900,https://github.com/Kong/kong
10,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
11,n8n-io,n8n,33800,https://github.com/n8n-io/n8n
12,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
13,sickcodes,Docker-OSX,31600,https://github.com/sickcodes/Docker-OSX
14,docker,compose,30500,https://github.com/docker/compose
15,ityouknow,spring-boot-examples,29400,https://github.com/ityouknow/spring-boot-examples
16,harness,gitness,28900,https://github.com/harness/gitness
17,dani-garcia,vaultwarden,27900,https://github.com/dani-garcia/vaultwarden
18,portainer,portainer,26600,https://github.com/portainer/portainer
19,veggiemonk,awesome-docker,26400,https://github.com/veggiemonk/awesome-docker
