,user,repo,star,link
0,jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
1,storybookjs,storybook,80400,https://github.com/storybookjs/storybook
2,mermaid-js,mermaid,61200,https://github.com/mermaid-js/mermaid
3,facebook,docusaurus,47900,https://github.com/facebook/docusaurus
4,tldr-pages,tldr,45500,https://github.com/tldr-pages/tldr
5,chubin,cheat.sh,36100,https://github.com/chubin/cheat.sh
6,satwikkansal,wtfpython,34300,https://github.com/satwikkansal/wtfpython
7,freeCodeCamp,devdocs,32400,https://github.com/freeCodeCamp/devdocs
8,docsifyjs,docsify,25000,https://github.com/docsifyjs/docsify
9,charlax,professional-programming,23900,https://github.com/charlax/professional-programming
10,doczjs,docz,23400,https://github.com/doczjs/docz
11,requarks,wiki,21900,https://github.com/requarks/wiki
12,shimohq,chinese-programmer-wrong-pronunciation,20400,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
13,mkdocs,mkdocs,17100,https://github.com/mkdocs/mkdocs
14,nhn,tui.editor,16300,https://github.com/nhn/tui.editor
15,squidfunk,mkdocs-material,15500,https://github.com/squidfunk/mkdocs-material
16,SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
17,jsdoc,jsdoc,14200,https://github.com/jsdoc/jsdoc
18,gollum,gollum,13300,https://github.com/gollum/gollum
19,pandao,editor.md,13200,https://github.com/pandao/editor.md
