,user,repo,star,link
0,airbnb,javascript,137000,https://github.com/airbnb/javascript
1,goldbergyoni,nodebestpractices,93000,https://github.com/goldbergyoni/nodebestpractices
2,standard,standard,28500,https://github.com/standard/standard
3,eslint,eslint,23400,https://github.com/eslint/eslint
4,electron-react-boilerplate,electron-react-boilerplate,21900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
5,verekia,js-stack-from-scratch,20000,https://github.com/verekia/js-stack-from-scratch
6,grab,front-end-guide,15000,https://github.com/grab/front-end-guide
7,typescript-eslint,typescript-eslint,13900,https://github.com/typescript-eslint/typescript-eslint
8,okonet,lint-staged,12200,https://github.com/okonet/lint-staged
9,ixahmedxi,noodle,10800,https://github.com/ixahmedxi/noodle
10,jsx-eslint,eslint-plugin-react,8600,https://github.com/jsx-eslint/eslint-plugin-react
11,xojs,xo,7300,https://github.com/xojs/xo
12,themesberg,flowbite,5700,https://github.com/themesberg/flowbite
13,microsoft,rushstack,5300,https://github.com/microsoft/rushstack
14,import-js,eslint-plugin-import,5000,https://github.com/import-js/eslint-plugin-import
15,prettier,eslint-config-prettier,4900,https://github.com/prettier/eslint-config-prettier
16,ixartz,Next-js-Boilerplate,4800,https://github.com/ixartz/Next-js-Boilerplate
17,bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
18,emacs-lsp,lsp-mode,4500,https://github.com/emacs-lsp/lsp-mode
19,Blazity,next-enterprise,4400,https://github.com/Blazity/next-enterprise
