,user,repo,star,link
0,microsoft,vscode,151000,https://github.com/microsoft/vscode
1,electron,electron,109000,https://github.com/electron/electron
2,Fndroid,clash_for_windows_pkg,61500,https://github.com/Fndroid/clash_for_windows_pkg
3,atom,atom,59600,https://github.com/atom/atom
4,microsoft,playwright,55100,https://github.com/microsoft/playwright
5,marktext,marktext,41500,https://github.com/marktext/marktext
6,agalwood,Motrix,40200,https://github.com/agalwood/Motrix
7,laurent22,joplin,38700,https://github.com/laurent22/joplin
8,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
9,nativefier,nativefier,34300,https://github.com/nativefier/nativefier
10,typeorm,typeorm,32100,https://github.com/typeorm/typeorm
11,qier222,YesPlayMusic,24900,https://github.com/qier222/YesPlayMusic
12,nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
13,sindresorhus,awesome-electron,24700,https://github.com/sindresorhus/awesome-electron
14,quasarframework,quasar,24300,https://github.com/quasarframework/quasar
15,zadam,trilium,22700,https://github.com/zadam/trilium
16,toeverything,AFFiNE,22400,https://github.com/toeverything/AFFiNE
17,notable,notable,22000,https://github.com/notable/notable
18,electron-react-boilerplate,electron-react-boilerplate,21900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
19,Molunerfinn,PicGo,21500,https://github.com/Molunerfinn/PicGo
