,user,repo,star,link
0,phoenixframework,phoenix,19900,https://github.com/phoenixframework/phoenix
1,asdf-vm,asdf,18600,https://github.com/asdf-vm/asdf
2,plausible,analytics,16100,https://github.com/plausible/analytics
3,benawad,dogehouse,9200,https://github.com/benawad/dogehouse
4,lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
5,oldratlee,translations,6700,https://github.com/oldratlee/translations
6,supabase,realtime,6100,https://github.com/supabase/realtime
7,papercups-io,papercups,5400,https://github.com/papercups-io/papercups
8,firezone,firezone,5300,https://github.com/firezone/firezone
9,rrrene,credo,4700,https://github.com/rrrene/credo
10,christopheradams,elixir_style_guide,4200,https://github.com/christopheradams/elixir_style_guide
11,absinthe-graphql,absinthe,4200,https://github.com/absinthe-graphql/absinthe
12,rusterlium,rustler,3900,https://github.com/rusterlium/rustler
13,livebook-dev,livebook,3800,https://github.com/livebook-dev/livebook
14,dependabot,dependabot-core,3600,https://github.com/dependabot/dependabot-core
15,elixirschool,elixirschool,3400,https://github.com/elixirschool/elixirschool
16,ueberauth,guardian,3300,https://github.com/ueberauth/guardian
17,bitwalker,distillery,2900,https://github.com/bitwalker/distillery
18,blockscout,blockscout,2700,https://github.com/blockscout/blockscout
19,thechangelog,changelog.com,2600,https://github.com/thechangelog/changelog.com
