,user,repo,star,link
0,syl20bnr,spacemacs,23200,https://github.com/syl20bnr/spacemacs
1,doomemacs,doomemacs,17500,https://github.com/doomemacs/doomemacs
2,atlas-engineer,nyxt,9100,https://github.com/atlas-engineer/nyxt
3,mickael-kerjean,filestash,8400,https://github.com/mickael-kerjean/filestash
4,emacs-tw,awesome-emacs,7900,https://github.com/emacs-tw/awesome-emacs
5,magit,magit,6200,https://github.com/magit/magit
6,bbatsov,prelude,5000,https://github.com/bbatsov/prelude
7,remacs,remacs,4600,https://github.com/remacs/remacs
8,emacs-lsp,lsp-mode,4500,https://github.com/emacs-lsp/lsp-mode
9,jwiegley,use-package,4300,https://github.com/jwiegley/use-package
10,bbatsov,projectile,3900,https://github.com/bbatsov/projectile
11,khoj-ai,khoj,3800,https://github.com/khoj-ai/khoj
12,clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
13,emacs-helm,helm,3300,https://github.com/emacs-helm/helm
14,emacs-evil,evil,3000,https://github.com/emacs-evil/evil
15,emacs-eaf,emacs-application-framework,2800,https://github.com/emacs-eaf/emacs-application-framework
16,radian-software,straight.el,2500,https://github.com/radian-software/straight.el
17,for-GET,know-your-http-well,2300,https://github.com/for-GET/know-your-http-well
18,flycheck,flycheck,2300,https://github.com/flycheck/flycheck
19,rougier,nano-emacs,2300,https://github.com/rougier/nano-emacs
