,user,repo,star,link
0,storybookjs,storybook,80400.0,https://github.com/storybookjs/storybook
1,TryGhost,Ghost,44000.0,https://github.com/TryGhost/Ghost
2,discourse,discourse,38800.0,https://github.com/discourse/discourse
3,emberjs,ember.js,22400.0,https://github.com/emberjs/ember.js
4,text-mask,text-mask,8200.0,https://github.com/text-mask/text-mask
5,szimek,sharedrop,7400.0,https://github.com/szimek/sharedrop
6,getsentry,sentry-javascript,7300.0,https://github.com/getsentry/sentry-javascript
7,ember-cli,ember-cli,3300.0,https://github.com/ember-cli/ember-cli
8,emberjs,data,3000.0,https://github.com/emberjs/data
9,krakenjs,zoid,1900.0,https://github.com/krakenjs/zoid
10,mainmatter,ember-simple-auth,1900.0,https://github.com/mainmatter/ember-simple-auth
11,Addepar,ember-table,1700.0,https://github.com/Addepar/ember-table
12,matschik,component-party.dev,1400.0,https://github.com/matschik/component-party.dev
13,FancyGrid,awesome-grid,1300.0,https://github.com/FancyGrid/awesome-grid
14,Shopify,storefront-api-examples,1100.0,https://github.com/Shopify/storefront-api-examples
15,emberjs,ember-inspector,,https://github.com/emberjs/ember-inspector
16,miguelcobain,ember-paper,,https://github.com/miguelcobain/ember-paper
17,miragejs,ember-cli-mirage,,https://github.com/miragejs/ember-cli-mirage
18,adopted-ember-addons,ember-electron,,https://github.com/adopted-ember-addons/ember-electron
19,emberjs,rfcs,,https://github.com/emberjs/rfcs
