,user,repo,star,link
0,Textualize,rich,44800,https://github.com/Textualize/rich
1,marktext,marktext,41500,https://github.com/marktext/marktext
2,twitter,twemoji,16300,https://github.com/twitter/twemoji
3,carloscuesta,gitmoji,14500,https://github.com/carloscuesta/gitmoji
4,ikatyang,emoji-cheat-sheet,11000,https://github.com/ikatyang/emoji-cheat-sheet
5,tindy2013,subconverter,10100,https://github.com/tindy2013/subconverter
6,microsoft,fluentui-emoji,8200,https://github.com/microsoft/fluentui-emoji
7,missive,emoji-mart,7600,https://github.com/missive/emoji-mart
8,carloscuesta,gitmoji-cli,4300,https://github.com/carloscuesta/gitmoji-cli
9,github,gemoji,4300,https://github.com/github/gemoji
10,burhanrashid52,PhotoEditor,3800,https://github.com/burhanrashid52/PhotoEditor
11,coding,Coding-iOS,3800,https://github.com/coding/Coding-iOS
12,hfg-gmuend,openmoji,3400,https://github.com/hfg-gmuend/openmoji
13,MariaLetta,free-gophers-pack,3100,https://github.com/MariaLetta/free-gophers-pack
14,iconify,iconify,3100,https://github.com/iconify/iconify
15,twitter,twitter-text,3000,https://github.com/twitter/twitter-text
16,getActivity,EmojiPackage,2500,https://github.com/getActivity/EmojiPackage
17,muan,emoji,2200,https://github.com/muan/emoji
18,muan,mojibar,2000,https://github.com/muan/mojibar
19,liuchengxu,git-commit-emoji-cn,1900,https://github.com/liuchengxu/git-commit-emoji-cn
