,user,repo,star,link
0,yuzu-emu,yuzu,30800,https://github.com/yuzu-emu/yuzu
1,Ryujinx,Ryujinx,24800,https://github.com/Ryujinx/Ryujinx
2,copy,v86,18200,https://github.com/copy/v86
3,OpenEmu,OpenEmu,15200,https://github.com/OpenEmu/OpenEmu
4,ish-app,ish,14800,https://github.com/ish-app/ish
5,skyline-emu,skyline,13200,https://github.com/skyline-emu/skyline
6,ruffle-rs,ruffle,13100,https://github.com/ruffle-rs/ruffle
7,dolphin-emu,dolphin,11000,https://github.com/dolphin-emu/dolphin
8,PCSX2,pcsx2,9400,https://github.com/PCSX2/pcsx2
9,citra-emu,citra,9400,https://github.com/citra-emu/citra
10,amitshekhariitbhu,Android-Debug-Database,8300,https://github.com/amitshekhariitbhu/Android-Debug-Database
11,felixrieseberg,macintosh.js,8200,https://github.com/felixrieseberg/macintosh.js
12,xenia-project,xenia,7200,https://github.com/xenia-project/xenia
13,unicorn-engine,unicorn,6700,https://github.com/unicorn-engine/unicorn
14,budtmo,docker-android,6100,https://github.com/budtmo/docker-android
15,bfirsh,jsnes,5900,https://github.com/bfirsh/jsnes
16,cemu-project,Cemu,5600,https://github.com/cemu-project/Cemu
17,Provenance-Emu,Provenance,5400,https://github.com/Provenance-Emu/Provenance
18,stenzek,duckstation,5300,https://github.com/stenzek/duckstation
19,mininet,mininet,4900,https://github.com/mininet/mininet
