,user,repo,star,link
0,ethereum,go-ethereum,43700,https://github.com/ethereum/go-ethereum
1,ccxt,ccxt,29200,https://github.com/ccxt/ccxt
2,OpenZeppelin,openzeppelin-contracts,23000,https://github.com/OpenZeppelin/openzeppelin-contracts
3,ethereum,solidity,20900,https://github.com/ethereum/solidity
4,ethereumbook,ethereumbook,18400,https://github.com/ethereumbook/ethereumbook
5,web3,web3.js,17900,https://github.com/web3/web3.js
6,sismo-core,sismo-badges,16300,https://github.com/sismo-core/sismo-badges
7,trufflesuite,truffle,14000,https://github.com/trufflesuite/truffle
8,MetaMask,metamask-extension,10600,https://github.com/MetaMask/metamask-extension
9,smartcontractkit,full-blockchain-solidity-course-py,10200,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
10,smartcontractkit,full-blockchain-solidity-course-js,9900,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
11,OffcierCia,DeFi-Developer-Road-Map,9000,https://github.com/OffcierCia/DeFi-Developer-Road-Map
12,scaffold-eth,scaffold-eth,8900,https://github.com/scaffold-eth/scaffold-eth
13,AmazingAng,WTF-Solidity,8300,https://github.com/AmazingAng/WTF-Solidity
14,ethereum,mist,7400,https://github.com/ethereum/mist
15,Consensys,smart-contract-best-practices,7100,https://github.com/Consensys/smart-contract-best-practices
16,ethers-io,ethers.js,7000,https://github.com/ethers-io/ethers.js
17,ethereum-lists,chains,6900,https://github.com/ethereum-lists/chains
18,openethereum,parity-ethereum,6700,https://github.com/openethereum/parity-ethereum
19,capstone-engine,capstone,6600,https://github.com/capstone-engine/capstone
