,user,repo,star,link
0,supabase,supabase,57100,https://github.com/supabase/supabase
1,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
2,kriasoft,react-starter-kit,22100,https://github.com/kriasoft/react-starter-kit
3,pubkey,rxdb,19700,https://github.com/pubkey/rxdb
4,firebase,functions-samples,11800,https://github.com/firebase/functions-samples
5,invertase,react-native-firebase,11100,https://github.com/invertase/react-native-firebase
6,firebase,quickstart-android,8600,https://github.com/firebase/quickstart-android
7,firebase,flutterfire,8100,https://github.com/firebase/flutterfire
8,angular,angularfire,7500,https://github.com/angular/angularfire
9,nhost,nhost,7000,https://github.com/nhost/nhost
10,microg,GmsCore,6000,https://github.com/microg/GmsCore
11,labring,laf,5700,https://github.com/labring/laf
12,rowyio,rowy,5100,https://github.com/rowyio/rowy
13,Th3Wall,Fakeflix,4900,https://github.com/Th3Wall/Fakeflix
14,devias-io,material-kit-react,4900,https://github.com/devias-io/material-kit-react
15,firebase,firebase-ios-sdk,4600,https://github.com/firebase/firebase-ios-sdk
16,firebase,firebase-js-sdk,4600,https://github.com/firebase/firebase-js-sdk
17,firebase,FirebaseUI-Android,4500,https://github.com/firebase/FirebaseUI-Android
18,kriasoft,react-firebase-starter,4500,https://github.com/kriasoft/react-firebase-starter
19,ThreeDotsLabs,wild-workouts-go-ddd-example,4400,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
