,user,repo,star,link
0,microsoft,playwright,55100,https://github.com/microsoft/playwright
1,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
2,iamadamdev,bypass-paywalls-chrome,41300,https://github.com/iamadamdev/bypass-paywalls-chrome
3,gorhill,uBlock,37500,https://github.com/gorhill/uBlock
4,ovity,octotree,22500,https://github.com/ovity/octotree
5,ArchiveBox,ArchiveBox,16900,https://github.com/ArchiveBox/ArchiveBox
6,gildas-lormeau,SingleFile,12000,https://github.com/gildas-lormeau/SingleFile
7,mozilla-mobile,firefox-ios,11600,https://github.com/mozilla-mobile/firefox-ios
8,Anarios,return-youtube-dislike,11500,https://github.com/Anarios/return-youtube-dislike
9,crimx,ext-saladict,11100,https://github.com/crimx/ext-saladict
10,MetaMask,metamask-extension,10600,https://github.com/MetaMask/metamask-extension
11,microsoft,playwright-python,9400,https://github.com/microsoft/playwright-python
12,moonD4rk,HackBrowserData,8700,https://github.com/moonD4rk/HackBrowserData
13,uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
14,arkenfox,user.js,8100,https://github.com/arkenfox/user.js
15,ajayyy,SponsorBlock,7600,https://github.com/ajayyy/SponsorBlock
16,Kenshin,simpread,7400,https://github.com/Kenshin/simpread
17,bitwarden,clients,6900,https://github.com/bitwarden/clients
18,mozilla,geckodriver,6700,https://github.com/mozilla/geckodriver
19,mozilla-mobile,fenix,6600,https://github.com/mozilla-mobile/fenix
