,user,repo,star,link
0,pallets,flask,64400,https://github.com/pallets/flask
1,apache,superset,54300,https://github.com/apache/superset
2,Asabeneh,30-Days-Of-Python,26300,https://github.com/Asabeneh/30-Days-Of-Python
3,plotly,dash,19400,https://github.com/plotly/dash
4,OpenEthan,SMSBoom,14100,https://github.com/OpenEthan/SMSBoom
5,Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
6,humiaozuzu,awesome-flask,11600,https://github.com/humiaozuzu/awesome-flask
7,miguelgrinberg,flasky,8300,https://github.com/miguelgrinberg/flasky
8,benbusby,whoogle-search,7900,https://github.com/benbusby/whoogle-search
9,jofpin,trape,7700,https://github.com/jofpin/trape
10,dvf,blockchain,7500,https://github.com/dvf/blockchain
11,pyeve,eve,6600,https://github.com/pyeve/eve
12,joeyespo,grip,6100,https://github.com/joeyespo/grip
13,miguelgrinberg,Flask-SocketIO,5100,https://github.com/miguelgrinberg/Flask-SocketIO
14,Python3WebSpider,ProxyPool,5000,https://github.com/Python3WebSpider/ProxyPool
15,CTFd,CTFd,4900,https://github.com/CTFd/CTFd
16,cookiecutter-flask,cookiecutter-flask,4400,https://github.com/cookiecutter-flask/cookiecutter-flask
17,schenkd,nginx-ui,4300,https://github.com/schenkd/nginx-ui
18,dpgaspar,Flask-AppBuilder,4300,https://github.com/dpgaspar/Flask-AppBuilder
19,miguelgrinberg,microblog,4300,https://github.com/miguelgrinberg/microblog
