,user,repo,star,link
0,tonsky,FiraCode,72600,https://github.com/tonsky/FiraCode
1,FortAwesome,Font-Awesome,72300,https://github.com/FortAwesome/Font-Awesome
2,ryanoasis,nerd-fonts,46600,https://github.com/ryanoasis/nerd-fonts
3,you-dont-need,You-Dont-Need-JavaScript,18400,https://github.com/you-dont-need/You-Dont-Need-JavaScript
4,be5invis,Iosevka,16900,https://github.com/be5invis/Iosevka
5,source-foundry,Hack,15800,https://github.com/source-foundry/Hack
6,rsms,inter,15800,https://github.com/rsms/inter
7,gztchan,awesome-design,14900,https://github.com/gztchan/awesome-design
8,faressoft,terminalizer,14500,https://github.com/faressoft/terminalizer
9,lxgw,LxgwWenKai,13900,https://github.com/lxgw/LxgwWenKai
10,adobe-fonts,source-han-sans,13100,https://github.com/adobe-fonts/source-han-sans
11,neutraltone,awesome-stock-resources,11800,https://github.com/neutraltone/awesome-stock-resources
12,atelier-anchor,smiley-sans,11500,https://github.com/atelier-anchor/smiley-sans
13,cdnjs,cdnjs,10000,https://github.com/cdnjs/cdnjs
14,dompdf,dompdf,9900,https://github.com/dompdf/dompdf
15,JetBrains,JetBrainsMono,9500,https://github.com/JetBrains/JetBrainsMono
16,snowie2000,mactype,8900,https://github.com/snowie2000/mactype
17,IBM,plex,8900,https://github.com/IBM/plex
18,be5invis,Sarasa-Gothic,8800,https://github.com/be5invis/Sarasa-Gothic
19,devicons,devicon,8100,https://github.com/devicons/devicon
