,user,repo,star,link
0,vuejs,vue,205000,https://github.com/vuejs/vue
1,laravel,laravel,74800,https://github.com/laravel/laravel
2,django,django,73200,https://github.com/django/django
3,gin-gonic,gin,71600,https://github.com/gin-gonic/gin
4,spring-projects,spring-boot,69500,https://github.com/spring-projects/spring-boot
5,tiangolo,fastapi,62900,https://github.com/tiangolo/fastapi
6,nestjs,nest,59800,https://github.com/nestjs/nest
7,rails,rails,53500,https://github.com/rails/rails
8,spring-projects,spring-framework,53200,https://github.com/spring-projects/spring-framework
9,ocornut,imgui,50500,https://github.com/ocornut/imgui
10,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
11,scrapy,scrapy,48500,https://github.com/scrapy/scrapy
12,meteor,meteor,43700,https://github.com/meteor/meteor
13,apache,dubbo,39400,https://github.com/apache/dubbo
14,Dogfalo,materialize,38800,https://github.com/Dogfalo/materialize
15,laravel,framework,30300,https://github.com/laravel/framework
16,symfony,symfony,28700,https://github.com/symfony/symfony
17,gofiber,fiber,28500,https://github.com/gofiber/fiber
18,ianstormtaylor,slate,27900,https://github.com/ianstormtaylor/slate
19,postcss,postcss,27800,https://github.com/postcss/postcss
