,user,repo,star,link
0,godotengine,godot,74700,https://github.com/godotengine/godot
1,ocornut,imgui,50500,https://github.com/ocornut/imgui
2,bevyengine,bevy,26600,https://github.com/bevyengine/bevy
3,libgdx,libgdx,22000,https://github.com/libgdx/libgdx
4,leereilly,games,21400,https://github.com/leereilly/games
5,BabylonJS,Babylon.js,21400,https://github.com/BabylonJS/Babylon.js
6,cocos2d,cocos2d-x,17500,https://github.com/cocos2d/cocos2d-x
7,aframevr,aframe,15700,https://github.com/aframevr/aframe
8,raysan5,raylib,15300,https://github.com/raysan5/raylib
9,OpenRA,OpenRA,13400,https://github.com/OpenRA/OpenRA
10,kitao,pyxel,12400,https://github.com/kitao/pyxel
11,ellisonleao,magictools,12100,https://github.com/ellisonleao/magictools
12,SFTtech,openage,12000,https://github.com/SFTtech/openage
13,OpenDiablo2,OpenDiablo2,10500,https://github.com/OpenDiablo2/OpenDiablo2
14,MonoGame,MonoGame,10100,https://github.com/MonoGame/MonoGame
15,boardgameio,boardgame.io,9700,https://github.com/boardgameio/boardgame.io
16,minetest,minetest,9400,https://github.com/minetest/minetest
17,hajimehoshi,ebiten,8800,https://github.com/hajimehoshi/ebiten
18,skypjack,entt,8700,https://github.com/skypjack/entt
19,playcanvas,engine,8600,https://github.com/playcanvas/engine
