,user,repo,star,link
0,github,gitignore,152000,https://github.com/github/gitignore
1,30-seconds,30-seconds-of-code,116000,https://github.com/30-seconds/30-seconds-of-code
2,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
3,sharkdp,bat,43100,https://github.com/sharkdp/bat
4,gogs,gogs,43000,https://github.com/gogs/gogs
5,tiimgreen,github-cheat-sheet,42500,https://github.com/tiimgreen/github-cheat-sheet
6,jesseduffield,lazygit,39000,https://github.com/jesseduffield/lazygit
7,go-gitea,gitea,38400,https://github.com/go-gitea/gitea
8,cli,cli,33300,https://github.com/cli/cli
9,typicode,husky,30300,https://github.com/typicode/husky
10,harness,gitness,28900,https://github.com/harness/gitness
11,files-community,Files,28800,https://github.com/files-community/Files
12,logseq,logseq,25300,https://github.com/logseq/logseq
13,mislav,hub,22500,https://github.com/mislav/hub
14,requarks,wiki,21900,https://github.com/requarks/wiki
15,git-tips,tips,21000,https://github.com/git-tips/tips
16,dandavison,delta,18600,https://github.com/dandavison/delta
17,desktop,desktop,18200,https://github.com/desktop/desktop
18,so-fancy,diff-so-fancy,16700,https://github.com/so-fancy/diff-so-fancy
19,tj,git-extras,16400,https://github.com/tj/git-extras
