,user,repo,star,link
0,golang,go,115000,https://github.com/golang/go
1,avelino,awesome-go,109000,https://github.com/avelino/awesome-go
2,kubernetes,kubernetes,102000,https://github.com/kubernetes/kubernetes
3,fatedier,frp,72200,https://github.com/fatedier/frp
4,gin-gonic,gin,71600,https://github.com/gin-gonic/gin
5,gohugoio,hugo,69100,https://github.com/gohugoio/hugo
6,moby,moby,66700,https://github.com/moby/moby
7,grafana,grafana,57200,https://github.com/grafana/grafana
8,junegunn,fzf,54500,https://github.com/junegunn/fzf
9,syncthing,syncthing,54500,https://github.com/syncthing/syncthing
10,caddyserver,caddy,49900,https://github.com/caddyserver/caddy
11,traefik,traefik,44700,https://github.com/traefik/traefik
12,etcd-io,etcd,44500,https://github.com/etcd-io/etcd
13,ethereum,go-ethereum,43700,https://github.com/ethereum/go-ethereum
14,gogs,gogs,43000,https://github.com/gogs/gogs
15,youngyangyang04,leetcode-master,42200,https://github.com/youngyangyang04/leetcode-master
16,golang-standards,project-layout,42000,https://github.com/golang-standards/project-layout
17,minio,minio,40900,https://github.com/minio/minio
18,rclone,rclone,40400,https://github.com/rclone/rclone
19,go-gitea,gitea,38400,https://github.com/go-gitea/gitea
