,user,repo,star,link
0,gradle,gradle,15200,https://github.com/gradle/gradle
1,GoogleContainerTools,jib,13000,https://github.com/GoogleContainerTools/jib
2,inferjay,AndroidDevTools,7600,https://github.com/inferjay/AndroidDevTools
3,Meituan-Dianping,walle,6600,https://github.com/Meituan-Dianping/walle
4,igorwojda,android-showcase,6100,https://github.com/igorwojda/android-showcase
5,cabaletta,baritone,6100,https://github.com/cabaletta/baritone
6,hibernate,hibernate-orm,5600,https://github.com/hibernate/hibernate-orm
7,mcxiaoke,packer-ng-plugin,4800,https://github.com/mcxiaoke/packer-ng-plugin
8,nisrulz,android-tips-tricks,4700,https://github.com/nisrulz/android-tips-tricks
9,Meituan-Dianping,Robust,4300,https://github.com/Meituan-Dianping/Robust
10,cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
11,diffplug,spotless,3700,https://github.com/diffplug/spotless
12,gradle,kotlin-dsl-samples,3700,https://github.com/gradle/kotlin-dsl-samples
13,Kotlin,kotlin-examples,3200,https://github.com/Kotlin/kotlin-examples
14,KeepSafe,dexcount-gradle-plugin,3000,https://github.com/KeepSafe/dexcount-gradle-plugin
15,bytedance,ByteX,3000,https://github.com/bytedance/ByteX
16,EngineHub,WorldEdit,2900,https://github.com/EngineHub/WorldEdit
17,Tencent,VasDolly,2900,https://github.com/Tencent/VasDolly
18,north2016,T-MVP,2700,https://github.com/north2016/T-MVP
19,Qihoo360,ArgusAPM,2600,https://github.com/Qihoo360/ArgusAPM
