,user,repo,star,link
0,supabase,supabase,57100,https://github.com/supabase/supabase
1,strapi,strapi,56200,https://github.com/strapi/strapi
2,hoppscotch,hoppscotch,54800,https://github.com/hoppscotch/hoppscotch
3,gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
4,prettier,prettier,46700,https://github.com/prettier/prettier
5,TanStack,query,36400,https://github.com/TanStack/query
6,Kong,insomnia,30900,https://github.com/Kong/insomnia
7,hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
8,directus,directus,23200,https://github.com/directus/directus
9,marmelab,react-admin,22900,https://github.com/marmelab/react-admin
10,kriasoft,react-starter-kit,22100,https://github.com/kriasoft/react-starter-kit
11,lensterxyz,lenster,21200,https://github.com/lensterxyz/lenster
12,parse-community,parse-server,20400,https://github.com/parse-community/parse-server
13,graphql,graphql-js,19700,https://github.com/graphql/graphql-js
14,pubkey,rxdb,19700,https://github.com/pubkey/rxdb
15,dgraph-io,dgraph,19600,https://github.com/dgraph-io/dgraph
16,saleor,saleor,19100,https://github.com/saleor/saleor
17,apollographql,apollo-client,18900,https://github.com/apollographql/apollo-client
18,prisma,prisma1,16700,https://github.com/prisma/prisma1
19,redwoodjs,redwood,16300,https://github.com/redwoodjs/redwood
