,user,repo,star,link
0,miniMAC,magic,8200.0,https://github.com/miniMAC/magic
1,vigetlabs,blendid,5000.0,https://github.com/vigetlabs/blendid
2,nieweidong,fetool,4400.0,https://github.com/nieweidong/fetool
3,assemble,assemble,4200.0,https://github.com/assemble/assemble
4,yeoman,generator-webapp,3800.0,https://github.com/yeoman/generator-webapp
5,Tencent,WeFlow,3200.0,https://github.com/Tencent/WeFlow
6,EmailThis,extension-boilerplate,3200.0,https://github.com/EmailThis/extension-boilerplate
7,MicrosoftDX,Vorlonjs,2900.0,https://github.com/MicrosoftDX/Vorlonjs
8,nas5w,100-days-of-code-frontend,2600.0,https://github.com/nas5w/100-days-of-code-frontend
9,Tencent,tmt-workflow,2200.0,https://github.com/Tencent/tmt-workflow
10,ykob,sketch-threejs,2100.0,https://github.com/ykob/sketch-threejs
11,egoist,maid,2000.0,https://github.com/egoist/maid
12,summerblue,phphub5,2000.0,https://github.com/summerblue/phphub5
13,PatrickJS,NG6-starter,1900.0,https://github.com/PatrickJS/NG6-starter
14,nicejade,Front-end-tutorial,1700.0,https://github.com/nicejade/Front-end-tutorial
15,luangjokaj,wordpressify,1600.0,https://github.com/luangjokaj/wordpressify
16,flatlogic,angular-material-dashboard,1300.0,https://github.com/flatlogic/angular-material-dashboard
17,FountainJS,generator-fountain-webapp,,https://github.com/FountainJS/generator-fountain-webapp
18,nicejade,nice-front-end-tutorial,,https://github.com/nicejade/nice-front-end-tutorial
19,logeshpaul,Frontend-Cheat-Sheets,,https://github.com/logeshpaul/Frontend-Cheat-Sheets
