,user,repo,star,link
0,hoppscotch,hoppscotch,54800,https://github.com/hoppscotch/hoppscotch
1,psf,requests,50300,https://github.com/psf/requests
2,caddyserver,caddy,49900,https://github.com/caddyserver/caddy
3,ngosang,trackerslist,41400,https://github.com/ngosang/trackerslist
4,apache,dubbo,39400,https://github.com/apache/dubbo
5,mitmproxy,mitmproxy,32299,https://github.com/mitmproxy/mitmproxy
6,aria2,aria2,31400,https://github.com/aria2/aria2
7,curl,curl,31300,https://github.com/curl/curl
8,httpie,cli,29300,https://github.com/httpie/cli
9,ehang-io,nps,27200,https://github.com/ehang-io/nps
10,dromara,hutool,27100,https://github.com/dromara/hutool
11,vapor,vapor,23200,https://github.com/vapor/vapor
12,locustio,locust,22200,https://github.com/locustio/locust
13,tsenart,vegeta,21900,https://github.com/tsenart/vegeta
14,go-kratos,kratos,21400,https://github.com/go-kratos/kratos
15,PostgREST,postgrest,21100,https://github.com/PostgREST/postgrest
16,gorilla,mux,19200,https://github.com/gorilla/mux
17,jhao104,proxy_pool,18800,https://github.com/jhao104/proxy_pool
18,uNetworking,uWebSockets,16100,https://github.com/uNetworking/uWebSockets
19,julienschmidt,httprouter,15800,https://github.com/julienschmidt/httprouter
