,user,repo,star,link
0,freeCodeCamp,freeCodeCamp,374000,https://github.com/freeCodeCamp/freeCodeCamp
1,EbookFoundation,free-programming-books,299000,https://github.com/EbookFoundation/free-programming-books
2,TheAlgorithms,Python,170000,https://github.com/TheAlgorithms/Python
3,ohmyzsh,ohmyzsh,163000,https://github.com/ohmyzsh/ohmyzsh
4,huggingface,transformers,112000,https://github.com/huggingface/transformers
5,avelino,awesome-go,109000,https://github.com/avelino/awesome-go
6,axios,axios,102000,https://github.com/axios/axios
7,mui,material-ui,88900,https://github.com/mui/material-ui
8,rust-lang,rust,85600,https://github.com/rust-lang/rust
9,iluwatar,java-design-patterns,83800,https://github.com/iluwatar/java-design-patterns
10,godotengine,godot,74700,https://github.com/godotengine/godot
11,tauri-apps,tauri,68700,https://github.com/tauri-apps/tauri
12,florinpop17,app-ideas,67000,https://github.com/florinpop17/app-ideas
13,home-assistant,core,63100,https://github.com/home-assistant/core
14,chartjs,Chart.js,61900,https://github.com/chartjs/Chart.js
15,mermaid-js,mermaid,61200,https://github.com/mermaid-js/mermaid
16,nestjs,nest,59800,https://github.com/nestjs/nest
17,anuraghazra,github-readme-stats,59300,https://github.com/anuraghazra/github-readme-stats
18,ansible,ansible,58700,https://github.com/ansible/ansible
19,leonardomso,33-js-concepts,57800,https://github.com/leonardomso/33-js-concepts
