,user,repo,star,link
0,koalaman,shellcheck,33100,https://github.com/koalaman/shellcheck
1,hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
2,jgm,pandoc,30000,https://github.com/jgm/pandoc
3,PostgREST,postgrest,21100,https://github.com/PostgREST/postgrest
4,compiler-explorer,compiler-explorer,13900,https://github.com/compiler-explorer/compiler-explorer
5,hmemcpy,milewski-ctfp-pdf,10400,https://github.com/hmemcpy/milewski-ctfp-pdf
6,lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
7,hadolint,hadolint,9000,https://github.com/hadolint/hadolint
8,purescript,purescript,8300,https://github.com/purescript/purescript
9,liuxinyu95,AlgoXY,5800,https://github.com/liuxinyu95/AlgoXY
10,unisonweb,unison,5300,https://github.com/unisonweb/unison
11,simplex-chat,simplex-chat,4200,https://github.com/simplex-chat/simplex-chat
12,digitallyinduced,ihp,4100,https://github.com/digitallyinduced/ihp
13,wasp-lang,wasp,4100,https://github.com/wasp-lang/wasp
14,input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
15,xmonad,xmonad,3100,https://github.com/xmonad/xmonad
16,koka-lang,koka,2800,https://github.com/koka-lang/koka
17,BayesWitnesses,m2cgen,2600,https://github.com/BayesWitnesses/m2cgen
18,extism,extism,2600,https://github.com/extism/extism
19,typelead,eta,2600,https://github.com/typelead/eta
