,user,repo,star,link
0,Homebrew,brew,37100,https://github.com/Homebrew/brew
1,mislav,hub,22500,https://github.com/mislav/hub
2,Homebrew,homebrew-cask,20200,https://github.com/Homebrew/homebrew-cask
3,Homebrew,homebrew-core,12700,https://github.com/Homebrew/homebrew-core
4,Caldis,Mos,12400,https://github.com/Caldis/Mos
5,goreleaser,goreleaser,12100,https://github.com/goreleaser/goreleaser
6,mas-cli,mas,10100,https://github.com/mas-cli/mas
7,diasurgical,devilutionX,7200,https://github.com/diasurgical/devilutionX
8,IdreesInc,Monocraft,7100,https://github.com/IdreesInc/Monocraft
9,geerlingguy,mac-dev-playbook,5500,https://github.com/geerlingguy/mac-dev-playbook
10,Homebrew,homebrew-bundle,4600,https://github.com/Homebrew/homebrew-bundle
11,LumaTeam,Luma3DS,4500,https://github.com/LumaTeam/Luma3DS
12,mock-server,mockserver,4300,https://github.com/mock-server/mockserver
13,paulirish,dotfiles,4100,https://github.com/paulirish/dotfiles
14,whalebrew,whalebrew,3800,https://github.com/whalebrew/whalebrew
15,cointop-sh,cointop,3700,https://github.com/cointop-sh/cointop
16,nicoverbruggen,phpmon,2900,https://github.com/nicoverbruggen/phpmon
17,Homebrew,homebrew-cask-fonts,2700,https://github.com/Homebrew/homebrew-cask-fonts
18,Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
19,nicknisi,dotfiles,2600,https://github.com/nicknisi/dotfiles
