,user,repo,star,link
0,homebridge,homebridge,22400.0,https://github.com/homebridge/homebridge
1,homebridge,docker-homebridge,2500.0,https://github.com/homebridge/docker-homebridge
2,homebridge,homebridge-config-ui-x,2400.0,https://github.com/homebridge/homebridge-config-ui-x
3,hjdhjd,homebridge-unifi-protect,1200.0,https://github.com/hjdhjd/homebridge-unifi-protect
4,YinHangCode,homebridge-mi-aqara,1100.0,https://github.com/YinHangCode/homebridge-mi-aqara
5,Sunoo,homebridge-camera-ffmpeg,1000.0,https://github.com/Sunoo/homebridge-camera-ffmpeg
6,dgreif,ring,1000.0,https://github.com/dgreif/ring
7,homebridge,homebridge-raspbian-image,,https://github.com/homebridge/homebridge-raspbian-image
8,merdok,homebridge-webos-tv,,https://github.com/merdok/homebridge-webos-tv
9,tavicu,homebridge-samsung-tizen,,https://github.com/tavicu/homebridge-samsung-tizen
10,sieren,Homepoint,,https://github.com/sieren/Homepoint
11,lprhodes,homebridge-broadlink-rm,,https://github.com/lprhodes/homebridge-broadlink-rm
12,homebridge,homebridge-syno-spk,,https://github.com/homebridge/homebridge-syno-spk
13,seydx,homebridge-camera-ui,,https://github.com/seydx/homebridge-camera-ui
14,hoobs-org,HOOBS,,https://github.com/hoobs-org/HOOBS
15,hjdhjd,homebridge-myq,,https://github.com/hjdhjd/homebridge-myq
16,taligentx,dscKeybusInterface,,https://github.com/taligentx/dscKeybusInterface
17,plasticrake,homebridge-tplink-smarthome,,https://github.com/plasticrake/homebridge-tplink-smarthome
18,seydx,camera.ui,,https://github.com/seydx/camera.ui
19,tonesto7,homebridge-smartthings,,https://github.com/tonesto7/homebridge-smartthings
