,user,repo,star,link
0,ryanoasis,nerd-fonts,46600.0,https://github.com/ryanoasis/nerd-fonts
1,neutraltone,awesome-stock-resources,11800.0,https://github.com/neutraltone/awesome-stock-resources
2,akveo,eva-icons,8500.0,https://github.com/akveo/eva-icons
3,Remix-Design,RemixIcon,5800.0,https://github.com/Remix-Design/RemixIcon
4,ecomfe,fontmin,5300.0,https://github.com/ecomfe/fontmin
5,mikepenz,Android-Iconics,5100.0,https://github.com/mikepenz/Android-Iconics
6,phosphor-icons,homepage,3000.0,https://github.com/phosphor-icons/homepage
7,refscn,rplibs,2900.0,https://github.com/refscn/rplibs
8,atisawd,boxicons,2500.0,https://github.com/atisawd/boxicons
9,keremciu,sketch-iconfont,2000.0,https://github.com/keremciu/sketch-iconfont
10,coreui,coreui-icons,1900.0,https://github.com/coreui/coreui-icons
11,home-assistant,Iconic,1600.0,https://github.com/home-assistant/Iconic
12,ForkAwesome,Fork-Awesome,1300.0,https://github.com/ForkAwesome/Fork-Awesome
13,brabadu,awesome-fonts,1300.0,https://github.com/brabadu/awesome-fonts
14,dongjunkun,GanK,1200.0,https://github.com/dongjunkun/GanK
15,vkarampinis,awesome-icons,1100.0,https://github.com/vkarampinis/awesome-icons
16,leungwensen,svg-icon,1000.0,https://github.com/leungwensen/svg-icon
17,pfefferle,openwebicons,,https://github.com/pfefferle/openwebicons
18,phosphor-icons,react,,https://github.com/phosphor-icons/react
19,jpswalsh,academicons,,https://github.com/jpswalsh/academicons
